gid,barrio,plaza,nro_piq,calle,altura,artefacto,lampara,potencia,soporte,columna,tulipa,portaeq,lng,lat
19883,ANTARTIDA ARGENTINA,,409,AV. INDEPENDENCIA,3205,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.122.192.466.775.000,-274.787.760.800.015.000
19884,ANTARTIDA ARGENTINA,,410,AV. INDEPENDENCIA,3205,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.122.295.845.820.000,-274.788.173.522.067.000
154559,PIO X,,25,MAGALLANES,1100,PHILIPS,LED,76,R8,,,,-588.405.217.230.317.000,-274.922.121.971.804.000
12543,9 DE julio,,337,S/N,,MERIZA 56,LED,150,BRAZO,ACERO,NO,SIN ESPECIFICAR,-588.037.359.163.155.000,-274.928.336.531.317.000
12505,9 DE julio,,1,S/N,,MERIZA 56,LED,150,BRAZO,ACERO,NO,SIN ESPECIFICAR,-588.070.281.499.690.000,-274.865.920.604.898.000
12507,9 DE julio,,676,S/N,,AL400,LED,250,JIRAFA,ACERO,NO,NO,-588.067.311.980.422.000,-274.864.886.855.417.000
12562,9 DE julio,,443,CARTAGENA,,Sin Dato,LED,250,JIRAFA,ACERO,SI,SI,-58.800.189.667.295.600,-274.962.429.306.046.000
13081,SAN ROQUE,,287,S/N,,AL400,LED,250,PESCANTE,PM,NO,SI,-588.010.996.455.534.000,-275.124.923.566.675.000
13082,SAN ROQUE,,286,S/N,,AL400,LED,250,PESCANTE,PM,NO,SI,-588.010.130.361.309.000,-275.127.716.827.546.000
19887,ANTARTIDA ARGENTINA,,413,AV. INDEPENDENCIA,3249,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.118.703.423.264.000,-274.788.150.593.051.000
19888,ANTARTIDA ARGENTINA,,414,AV. INDEPENDENCIA,3249,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-58.811.878.095.757.900,-274.788.540.385.944.000
19891,ANTARTIDA ARGENTINA,,417,AV. INDEPENDENCIA,3295,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.114.930.087.287.000,-274.788.586.243.899.000
19892,ANTARTIDA ARGENTINA,,418,AV. INDEPENDENCIA,3295,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.115.007.621.599.000,-27.478.902.189.463.000
19895,ANTARTIDA ARGENTINA,,421,AV. INDEPENDENCIA,3305,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.110.510.632.130.000,-27.478.913.653.958.700
19896,ANTARTIDA ARGENTINA,,422,AV. INDEPENDENCIA,3305,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.110.588.166.414.000,-274.789.640.976.958.000
19899,ANTARTIDA ARGENTINA,,425,AV. INDEPENDENCIA,3349,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-58.810.585.857.410.200,-274.789.709.763.828.000
19901,ANTARTIDA ARGENTINA,,426,AV. INDEPENDENCIA,3349,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.105.936.108.373.000,-274.790.237.130.006.000
13492,JOSE MARIA PONCE,,217,CESAR ALVAREZ,1876,AL400,LED,130,JIRAFA,ACERO,SI,SI,-58.771.012.766.557.600,-274.889.813.797.778.000
13493,JOSE MARIA PONCE,,218,CESAR ALVAREZ,1845,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.709.660.873.569.000,-27.488.691.515.649.400
13494,JOSE MARIA PONCE,,219,CESAR ALVAREZ,1825,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.709.380.798.301.000,-274.884.927.512.395.000
13495,JOSE MARIA PONCE,,220,CESAR ALVAREZ,1795,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.708.820.647.812.000,-274.881.449.126.528.000
13496,JOSE MARIA PONCE,,221,CESAR ALVAREZ,1785,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.708.633.931.038.000,-274.879.627.110.475.000
13497,JOSE MARIA PONCE,,222,CESAR ALVAREZ,1755,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.708.260.497.349.000,-274.877.722.272.268.000
13498,JOSE MARIA PONCE,,223,CESAR ALVAREZ,1745,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.708.073.780.534.000,-274.876.148.707.843.000
13499,JOSE MARIA PONCE,,224,CESAR ALVAREZ,1715,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.707.887.063.717.000,-274.874.161.044.255.000
13501,JOSE MARIA PONCE,,225,CESAR ALVAREZ,1695,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.707.046.837.989.000,-274.870.185.706.312.000
13502,JOSE MARIA PONCE,,227,CESAR ALVAREZ,1655,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.706.766.762.737.000,-274.868.446.491.478.000
13503,JOSE MARIA PONCE,,229,CESAR ALVAREZ,1635,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.706.206.612.170.000,-274.865.879.074.049.000
13504,JOSE MARIA PONCE,,231,CESAR ALVAREZ,1615,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.705.926.536.994.000,-27.486.389.139.187.300
157319,PARQUE BALNEARIO MOLINA PUNTA,,9,PUNTA VIDAL,1900,PHILIPS,LED,76,R8 CON BRAZO CORTO,,,,-58.780.860.006.808.900,-274.400.120.356.164.000
151193,JUAN XXIII,,1484,PJE. LAS FLORES,3300,PHILIPS,LED,76,R8 CON BRAZO CORTO,,,,-588.397.881.388.662.000,-274.945.557.088.603.000
23915,APIPE,,8119,EVA PERON,,,LED,,,,,,-587.797.898.477.029.000,-274.608.675.910.272.000
157365,SOR MARIA ASSUNTA PITTARO,,11,MURCIA,700,PHILIPS,LED,76,R8 CON BRAZO CORTO,,,,-587.860.380.113.122.000,-274.532.407.987.532.000
13544,JOSE MARIA PONCE,,197,CESAR ALVAREZ,2395,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.718.156.489.255.000,-27.493.966.923.356.700
13545,JOSE MARIA PONCE,,198,CESAR ALVAREZ,2375,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.718.063.130.816.000,-274.937.516.055.437.000
13546,JOSE MARIA PONCE,,199,CESAR ALVAREZ,2345,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.717.409.621.885.000,-274.935.031.613.864.000
13547,JOSE MARIA PONCE,,200,CESAR ALVAREZ,2335,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.717.129.546.658.000,-274.932.878.426.631.000
13548,JOSE MARIA PONCE,,201,CESAR ALVAREZ,2275,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.716.569.396.209.000,-274.928.820.485.374.000
13549,JOSE MARIA PONCE,,202,CESAR ALVAREZ,2255,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.716.195.962.513.000,-274.926.501.655.181.000
13550,JOSE MARIA PONCE,,203,CESAR ALVAREZ,2235,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.716.102.604.088.000,-274.925.010.975.940.000
13552,JOSE MARIA PONCE,,204,CESAR ALVAREZ,2195,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.715.635.812.059.000,-274.921.201.453.325.000
13553,JOSE MARIA PONCE,,205,CESAR ALVAREZ,2175,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.715.262.378.422.000,-274.919.876.398.853.000
13554,JOSE MARIA PONCE,,206,CESAR ALVAREZ,2155,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.715.075.661.614.000,-274.918.054.446.475.000
13555,JOSE MARIA PONCE,,207,CESAR ALVAREZ,2135,PANTALLA,LED,130,BRAZO,PM,SIN ESPECIFICAR,SIN ESPECIFICAR,-587.714.608.869.522.000,-2.749.165.637.558.170
13556,JOSE MARIA PONCE,,208,CESAR ALVAREZ,2095,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.714.048.719.035.000,-274.912.919.836.937.000
13557,JOSE MARIA PONCE,,209,CESAR ALVAREZ,2075,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.713.675.285.314.000,-27.491.043.533.984.700
154556,PIO X,,22,MAGALLANES,1100,PHILIPS,LED,76,R8,,,,-588.397.277.891.633.000,-274.924.465.596.330.000
13558,JOSE MARIA PONCE,,211,CESAR ALVAREZ,2035,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.713.115.134.837.000,-274.908.364.921.359.000
13559,JOSE MARIA PONCE,,210,CESAR ALVAREZ,2045,PANTALLA,LED,130,BRAZO,PM,SIN ESPECIFICAR,SIN ESPECIFICAR,-587.713.395.210.119.000,-274.909.358.722.757.000
13561,JOSE MARIA PONCE,,212,CESAR ALVAREZ,1995,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.712.181.550.683.000,-27.490.082.856.507.400
13562,JOSE MARIA PONCE,,213,CESAR ALVAREZ,1975,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.711.901.475.492.000,-274.899.089.398.637.000
13563,JOSE MARIA PONCE,,214,CESAR ALVAREZ,1955,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.711.528.041.855.000,-274.897.433.047.067.000
13564,JOSE MARIA PONCE,,215,CESAR ALVAREZ,1935,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.711.247.966.566.000,-274.895.776.693.067.000
13565,JOSE MARIA PONCE,,216,CESAR ALVAREZ,1885,AL400,LED,130,JIRAFA,ACERO,SI,SI,-587.710.314.382.418.000,-274.891.967.069.230.000
19904,ANTARTIDA ARGENTINA,,429,AV. INDEPENDENCIA,3395,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.100.327.793.997.000,-274.790.397.632.620.000
19905,ANTARTIDA ARGENTINA,,430,AV. INDEPENDENCIA,3395,Sin Dato,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.100.405.328.247.000,-27.479.090.206.945.200
19908,VILLA CELIA,,435,AV. INDEPENDENCIA,3405,STRANT250,LED,250,JIRAFA TRIPLE,ACERO,SI,SI,-588.095.985.873.101.000,-274.790.993.785.243.000
154606,INDEPENDENCIA,,1060,MARIANO ANDINO IGARZABAL,4100,PHILIPS,LED,76,PESCANTE,,,,-588.312.935.829.160.000,-275.037.406.984.244.000
154620,INDEPENDENCIA,,1074,PROF. FLORENCIO GODOY CRUZ,2100,PHILIPS,LED,76,R8,,,,-588.266.895.711.419.000,-275.051.931.267.975.000
13749,NTRA SRA DE LA ASUNCION,,116,SUECIA,4864,AL400,LED,150,JIRAFA,ACERO,SI,SI,-587.965.604.580.772.000,-275.035.378.656.474.000
13750,NTRA SRA DE LA ASUNCION,,117,SUECIA,4882,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.963.019.793.022.000,-275.035.565.658.560.000
13751,NTRA SRA DE LA ASUNCION,,118,SUECIA,4892,AL400,LED,150,JIRAFA,ACERO,SI,SI,-58.796.023.973.964.500,-275.035.716.071.980.000
13752,NTRA SRA DE LA ASUNCION,,119,SUECIA,4898,AL400,LED,150,JIRAFA,ACERO,SI,SI,-587.957.226.241.594.000,-275.035.742.330.138.000
159105,SAN GERONIMO,,143,DOMINGO LASTRA,710,PHILIPS,LED,76,R8 BRAZO CORTO,,,,-587.884.188.070.890.000,-274.673.098.930.705.000
13765,NTRA SRA DE LA ASUNCION,,120,SUECIA,4920,AL400,LED,150,JIRAFA,ACERO,SI,NO,-587.953.603.205.389.000,-275.036.042.455.672.000
13766,NTRA SRA DE LA ASUNCION,,121,SUECIA,4930,AL400,LED,150,JIRAFA,ACERO,SI,SI,-587.950.902.928.421.000,-275.036.053.965.268.000
13767,NTRA SRA DE LA ASUNCION,,122,SUECIA,4960,AL400,LED,150,JIRAFA,ACERO,SI,SI,-587.947.477.625.797.000,-275.036.163.870.505.000
13769,NTRA SRA DE LA ASUNCION,,305,YUGOSLAVIA,0,AL400,LED,150,JIRAFA,ACERO,SI,SI,-587.956.142.787.876.000,-27.503.641.338.338.700
13770,NTRA SRA DE LA ASUNCION,,304,YUGOSLAVIA,0,AL400,LED,150,JIRAFA,ACERO,SI,SI,-587.956.272.521.229.000,-275.038.874.531.614.000
13792,NTRA SRA DE LA ASUNCION,,151,S/N,5085,MERIZA 56,LED,150,BRAZO,ACERO,SI,SIN ESPECIFICAR,-587.942.687.710.013.000,-275.039.402.397.697.000
13793,NTRA SRA DE LA ASUNCION,,124,SUECIA,5015,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.940.209.477.518.000,-275.036.392.277.394.000
19909,VILLA CELIA,,436,AV. INDEPENDENCIA,3405,STRANT250,LED,250,JIRAFA TRIPLE,ACERO,SI,SI,-588.096.063.407.394.000,-274.791.406.506.086.000
19910,VILLA CELIA,,433,AV. INDEPENDENCIA,3405,STRANT250,LED,250,JIRAFA TRIPLE,ACERO,SI,SI,-588.096.476.923.699.000,-274.791.131.358.893.000
19914,VILLA CELIA,,439,AV. INDEPENDENCIA,3471,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.091.023.677.834.000,-274.791.544.079.657.000
19915,VILLA CELIA,,440,AV. INDEPENDENCIA,3471,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.091.101.212.198.000,-274.792.071.444.863.000
19918,VILLA CELIA,,443,AV. INDEPENDENCIA,3505,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-58.808.595.810.360.500,-274.792.117.302.734.000
19919,VILLA CELIA,,444,AV. INDEPENDENCIA,3505,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.086.035.637.857.000,-274.792.713.454.381.000
19922,VILLA CELIA,,447,AV. INDEPENDENCIA,3549,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.081.797.096.080.000,-274.792.667.596.591.000
19923,VILLA CELIA,,448,AV. INDEPENDENCIA,3549,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.081.900.475.143.000,-274.793.217.890.184.000
19926,VILLA CELIA,,451,AV. INDEPENDENCIA,3595,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.077.377.640.932.000,-27.479.319.496.133.100
19927,VILLA CELIA,,452,AV. INDEPENDENCIA,3595,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.077.455.175.212.000,-274.793.745.254.639.000
19930,VILLA CELIA,,455,AV. INDEPENDENCIA,3615,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.073.475.081.143.000,-274.793.676.467.982.000
13848,NTRA SRA DE LA ASUNCION,,188,ALEJANDRO DUMAS,0,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.887.219.585.971.000,-275.039.173.533.914.000
13794,NTRA SRA DE LA ASUNCION,,125,SUECIA,5035,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.937.502.083.408.000,-275.036.433.680.955.000
13795,NTRA SRA DE LA ASUNCION,,126,SUECIA,5065,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.934.599.832.120.000,-275.036.453.525.587.000
13796,NTRA SRA DE LA ASUNCION,,127,SUECIA,5085,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.930.745.061.786.000,-275.036.472.429.941.000
13820,NTRA SRA DE LA ASUNCION,,251,RAMOS MEJIA,,MERIZA 56,LED,150,BRAZO,ACERO,SI,SIN ESPECIFICAR,-587.927.126.969.331.000,-275.036.318.907.770.000
13821,NTRA SRA DE LA ASUNCION,,129,SUECIA,5115,AL400,LED,150,JIRAFA,ACERO,SI,SI,-587.925.058.088.339.000,-27.503.584.733.099.200
13824,NTRA SRA DE LA ASUNCION,,128,SUECIA,5130,AL400,LED,150,JIRAFA,ACERO,SI,SI,-587.924.327.157.166.000,-275.036.486.524.731.000
19931,VILLA CELIA,,456,AV. INDEPENDENCIA,3615,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.073.552.615.413.000,-274.794.272.618.805.000
19934,VILLA CELIA,,459,AV. INDEPENDENCIA,3695,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.065.850.874.920.000,-274.794.570.694.068.000
19935,VILLA CELIA,,460,AV. INDEPENDENCIA,3695,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-58.806.592.840.920.400,-274.795.189.773.252.000
19938,VILLA CELIA,,465,AV. INDEPENDENCIA,3709,STRANT250,LED,250,JIRAFA TRIPLE,ACERO,SI,SI,-588.061.664.022.732.000,-274.795.029.271.266.000
19939,VILLA CELIA,,466,AV. INDEPENDENCIA,3709,STRANT250,LED,250,JIRAFA TRIPLE,ACERO,SI,SI,-588.061.741.557.023.000,-274.795.740.065.563.000
19940,VILLA CELIA,,463,AV. INDEPENDENCIA,3709,STRANT250,LED,250,JIRAFA TRIPLE,ACERO,SI,SI,-588.062.310.141.905.000,-274.795.304.417.513.000
19945,VILLA CELIA,,470,AV. INDEPENDENCIA,3775,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.056.365.845.424.000,-274.796.473.788.284.000
13825,NTRA SRA DE LA ASUNCION,,250,RAMOS MEJIA,0,AL400,LED,250,JIRAFA,ACERO,SI,SI,-587.929.566.618.296.000,-275.037.675.788.049.000
23916,APIPE,,8120,EVA PERON,,,LED,,,,,,-587.793.650.739.940.000,-274.608.411.696.961.000
13826,NTRA SRA DE LA ASUNCION,,249,RAMOS MEJIA,0,AL400,LED,250,JIRAFA,ACERO,SI,SI,-58.792.975.333.507.100,-27.504.049.122.546.000
157320,PARQUE BALNEARIO MOLINA PUNTA,,10,PUNTA VIDAL,1600,PHILIPS,LED,76,R8 CON BRAZO CORTO,,,,-587.803.141.772.744.000,-274.414.881.071.326.000
157366,SOR MARIA ASSUNTA PITTARO,,12,MURCIA,700,PHILIPS,LED,76,R8 CON BRAZO CORTO,,,,-587.854.076.921.937.000,-274.527.872.798.187.000
157379,LOMAS DEL MIRADOR,,13,MURCIA,300,PHILIPS,LED,76,R8 CON BRAZO CORTO,,,,-587.868.346.273.896.000,-274.558.647.347.883.000
159104,SAN GERONIMO,,142,DOMINGO LASTRA,710,PHILIPS,LED,76,R8 BRAZO CORTO,,,,-587.883.551.046.249.000,-274.668.893.841.956.000
126520,GALVAN,,,,,,LED,,JIRAFA DOBLE,,,,-588.521.856.442.092.000,-274.878.245.685.249.000
126521,GALVAN,,,,,,LED,,JIRAFA,,,,-588.518.030.941.484.000,-274.879.985.768.347.000
126523,GALVAN,,,,,,LED,,JIRAFA,,,,-588.519.679.661.838.000,-274.876.845.907.419.000
126546,GALVAN,,,,,,LED,,JIRAFA,,,,-588.512.811.530.379.000,-274.876.591.097.563.000
126547,GALVAN,,,,,,LED,,JIRAFA,,,,-588.510.642.293.838.000,-274.875.629.693.269.000
126548,GALVAN,,,,,,LED,,JIRAFA,,,,-588.524.091.895.667.000,-274.880.784.563.720.000
126549,GALVAN,,,,,,LED,,JIRAFA,,,,-58.851.522.803.306.400,-274.877.545.796.334.000
126550,GALVAN,,,,,,LED,,JIRAFA DOBLE- ESTILO ANTIGUO,,,,-588.522.449.042.646.000,-274.882.870.819.419.000
126551,GALVAN,,,,,,LED,,JIRAFA DOBLE - ESTILO ANTIGUO,,,,-588.524.479.977.784.000,-274.882.088.787.853.000
159108,SAN GERONIMO,,146,DOMINGO LASTRA,700,PHILIPS,LED,76,R8 BRAZO CORTO,,,,-587.883.017.957.208.000,-274.665.099.137.065.000
13858,NTRA SRA DE LA ASUNCION,,215,SANCHES DE BUSTAMANTE,0,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.909.644.987.713.000,-27.503.179.662.215.900
13859,NTRA SRA DE LA ASUNCION,,216,SANCHES DE BUSTAMANTE,0,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.909.673.207.788.000,-275.029.214.715.695.000
13863,NTRA SRA DE LA ASUNCION,,135,SUECIA,5275,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.897.244.619.663.000,-27.503.137.475.564.100
13865,NTRA SRA DE LA ASUNCION,,199,PAUL GROUSSAC,0,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.895.752.569.728.000,-275.035.409.470.752.000
13866,NTRA SRA DE LA ASUNCION,,200,PAUL GROUSSAC,0,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.895.660.382.040.000,-275.033.105.669.291.000
13867,NTRA SRA DE LA ASUNCION,,137,SUECIA,5325,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.894.288.765.273.000,-275.036.862.278.973.000
126552,GALVAN,,,,,,LED,,JIRAFA,,,,-588.522.340.916.095.000,-274.883.885.867.893.000
19946,VILLA CELIA,,468,AV. INDEPENDENCIA,3775,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.056.271.582.031.000,-274.795.678.889.243.000
19948,NIÑO JESUS,,473,AV. INDEPENDENCIA,3809,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.052.204.837.951.000,-274.796.359.144.161.000
19949,NIÑO JESUS,,474,AV. INDEPENDENCIA,3809,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.052.334.061.845.000,-274.797.047.008.800.000
19952,NIÑO JESUS,,477,AV. INDEPENDENCIA,3891,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.046.467.299.733.000,-274.797.459.727.342.000
19953,NIÑO JESUS,,478,AV. INDEPENDENCIA,3891,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.046.648.213.090.000,-274.798.170.520.102.000
19956,NIÑO JESUS,,481,AV. INDEPENDENCIA,3905,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.043.107.480.088.000,-274.798.376.879.183.000
19957,NIÑO JESUS,,482,AV. INDEPENDENCIA,3905,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.043.262.548.627.000,-274.798.973.027.482.000
19960,NIÑO JESUS,,485,AV. INDEPENDENCIA,3995,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.038.429.577.269.000,-274.799.615.032.970.000
19961,NIÑO JESUS,,486,AV. INDEPENDENCIA,3995,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.038.584.645.830.000,-27.480.023.410.929.700
19964,NIÑO JESUS,,489,AV. INDEPENDENCIA,4005,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.034.733.775.538.000,-274.800.738.541.608.000
19965,NIÑO JESUS,,490,AV. INDEPENDENCIA,4005,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.034.914.688.982.000,-27.480.128.883.116.500
19968,NIÑO JESUS,,493,AV. INDEPENDENCIA,4051,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.029.874.959.469.000,-274.802.022.550.106.000
19969,NIÑO JESUS,,494,AV. INDEPENDENCIA,4051,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.030.133.407.057.000,-27.480.275.626.861.600
19972,NIÑO JESUS,,497,AV. INDEPENDENCIA,4095,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.024.395.868.785.000,-274.803.512.915.329.000
19973,NIÑO JESUS,,498,AV. INDEPENDENCIA,4095,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.024.602.626.925.000,-274.804.292.490.138.000
19976,NIÑO JESUS,,501,AV. INDEPENDENCIA,4105,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-58.801.982.134.507.400,-274.804.865.706.587.000
19977,NIÑO JESUS,,502,AV. INDEPENDENCIA,4105,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.020.053.948.010.000,-274.805.668.209.110.000
124093,DEPORTES,JUAN TORRES DE VERA Y ARAGON,15,,,Sin Dato,LED,,,,,,-588.377.684.972.045.000,-274.674.427.607.655.000
13884,NTRA SRA DE LA ASUNCION,,110,S/N,5280,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.899.672.888.989.000,-275.031.186.514.510.000
13885,NTRA SRA DE LA ASUNCION,,102,NO INFORMADOCARAGUA,5285,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.898.297.270.110.000,-275.024.579.595.431.000
13886,NTRA SRA DE LA ASUNCION,,101,NO INFORMADOCARAGUA,5220,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.901.542.261.143.000,-275.024.852.075.914.000
13887,NTRA SRA DE LA ASUNCION,,100,NO INFORMADOCARAGUA,5225,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.903.775.636.389.000,-275.024.592.344.512.000
13888,NTRA SRA DE LA ASUNCION,,103,NO INFORMADOCARAGUA,5315,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.892.383.909.241.000,-275.024.981.766.351.000
13889,NTRA SRA DE LA ASUNCION,,104,NO INFORMADOCARAGUA,5375,AL400,LED,150,JIRAFA,ACERO,NO,NO,-587.888.548.556.145.000,-275.025.018.170.596.000
19980,NIÑO JESUS,,505,AV. INDEPENDENCIA,4131,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.015.660.337.553.000,-274.806.103.853.085.000
19981,NIÑO JESUS,,506,AV. INDEPENDENCIA,4131,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.015.867.095.688.000,-274.806.837.568.862.000
19984,NIÑO JESUS,,509,AV. INDEPENDENCIA,4171,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-588.011.240.882.456.000,-274.807.387.855.376.000
19988,NIÑO JESUS,,513,AV. INDEPENDENCIA,4195,STRANT250,LED,250,JIRAFA DOBLE,ACERO,SI,SI,-58.800.697.649.589.700,-274.808.580.141.805.000
126553,GALVAN,,,,,,LED,,JIRAFA,,,,-58.852.274.995.297.000,-274.883.592.501.282.000
14139,CIUDADES CORRENTINAS,,104,TURIN,0,Sin Dato,LED,250,JIRAFA,ACERO,NO,SI,-587.848.438.156.252.000,-274.969.937.503.906.000
14140,CIUDADES CORRENTINAS,,105,TURIN,0,Sin Dato,LED,250,JIRAFA,ACERO,NO,SI,-587.846.617.667.178.000,-274.967.950.009.569.000
14141,CIUDADES CORRENTINAS,,106,JUAN KEPLER,,Sin Dato,LED,250,JIRAFA,ACERO,NO,SI,-587.844.843.857.329.000,-27.496.679.063.626.300
14142,CIUDADES CORRENTINAS,,107,JUAN KEPLER,,Sin Dato,LED,250,JIRAFA,ACERO,NO,SI,-587.843.303.443.494.000,-274.966.997.667.301.000
14143,CIUDADES CORRENTINAS,,108,S/N,,Sin Dato,LED,250,JIRAFA,ACERO,NO,SI,-587.842.276.500.977.000,-274.968.778.132.681.000
14144,CIUDADES CORRENTINAS,,109,S/N,,Sin Dato,LED,250,JIRAFA,ACERO,NO,SI,-587.842.603.255.415.000,-274.971.428.122.231.000
14157,CIUDADES CORRENTINAS,,122,RIO DE JANEIRO,,Sin Dato,LED,250,JIRAFA,ACERO,NO,NO,-587.844.003.631.566.000,-274.974.533.570.630.000
126554,GALVAN,,,,,,LED,,JIRAFA,,,,-588.520.998.135.207.000,-274.883.243.814.110.000
126555,GALVAN,,,,,,LED,,JIRAFA,,,,-588.521.813.694.385.000,-274.883.574.899.285.000
126556,GALVAN,,,,,,LED,,JIRAFA,,,,-588.521.312.456.576.000,-274.884.581.565.856.000
126557,GALVAN,,,,,,LED,,JIRAFA,,,,-588.521.185.051.648.000,-274.883.869.942.277.000
126558,GALVAN,,,,,,LED,,JIRAFA,,,,-588.522.138.912.228.000,-274.884.731.601.923.000
126567,GALVAN,,,,,,LED,,JIRAFA,,,,-588.518.007.472.155.000,-274.885.144.829.749.000
